Model,Median SSC,Median TSC,Median CSC,dSSC,dTSC,dCSC,pct_dTSC,pct_dCSC,P-value (SSC),P-value (TSC),P-value (CSC),pct_dSSC
MIST,0.25922409529338986,0.26316354874505343,0.47662641596991684,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
KMeans,-0.0259626787406995,0.18526876057764757,0.1520123422662346,-0.28234642858668146,-0.06642677425132665,-0.14648732248066268,25.24163189320696,30.734201372906806,0.005559182711272854,0.42873135367747606,0.011755033584912276,108.91982408777307
BayesSpace (C),0.05983912780692,0.05706893359287399,0.08376920019649267,-0.13350964332758528,-0.18535672625248323,-0.3956990204495287,70.43404268425199,83.02079095727333,0.05832485465030396,0.000808569625442082,0.00159771983341776,51.50356226587619
HClust,-0.034805046166149496,0.11685673148365981,0.08658078850741807,-0.24305810145626278,-0.07044481778905873,-0.220182899173142,26.768455633384082,46.19611750328149,0.004920220517482485,0.07619511749821331,0.004479882870129201,93.76369938958398
Louvain,-0.0497310872651479,0.1205892161226122,0.0954343519996197,-0.26080020788175684,-0.08615454599686037,-0.3276006087596932,32.738024094790134,68.7332044097972,0.00043648310640482905,0.023880422162034752,0.00015743992940339037,100.60801160732498
Leiden,-0.08250185371169315,0.09510227084249284,0.011370499209586937,-0.25475340558843435,-0.11032538195531759,-0.38610993448092396,41.92274442316408,81.00892471417153,0.00026095076544357704,0.02147621654764581,0.00014656578214634027,98.27535719629165
STAGATE,0.024588091710765723,0.04128254214219672,0.05720344169285368,-0.19305743981483411,-0.17215258214709112,-0.34782647145066026,65.41657572564066,72.97675072055048,0.009535955325912152,0.0007499248857082937,0.0002483152755054486,74.47511374138722
SpaGCN,0.08563568861551117,0.08175009699220168,0.22864049463358477,-0.1486403660810767,-0.14667193812206658,-0.2571405212207365,55.73413902552244,53.95011954959844,0.06312448899906527,0.02161866541509895,0.0070334025128138,57.34048986181069
BayesSpace (I),0.0809695477901674,0.0727379315737857,0.13224257557024355,-0.183765505193937,-0.1618459345011647,-0.3217990675557998,61.50013376584961,67.51599507990987,0.04428493255104151,0.005562635063823415,0.003775456202387275,70.89059563924842
