,spot,x,y,rmse,pcc,snr,model,cvFold
10x14,10x14,10,14,0.9081720853585132,0.4654047042878619,3.320585027881087,MIST,0
10x15,10x15,10,15,0.8720281993716472,0.417390761697055,3.4458400937840077,MIST,0
10x16,10x16,10,16,0.8377312351465596,0.4469919716259562,3.4755545237855663,MIST,0
10x17,10x17,10,17,0.9680458356867649,0.3806666222799156,3.197504221248018,MIST,0
10x19,10x19,10,19,0.9134281088031239,0.4438752482120694,3.3632667337175812,MIST,0
10x2,10x2,10,2,0.9506797192916954,0.560211060589081,3.2236720905722684,MIST,0
10x21,10x21,10,21,0.7980285704740582,0.5175982124521896,3.6118244533222823,MIST,0
10x22,10x22,10,22,0.8346316349532784,0.4892050327269135,3.4243749173843483,MIST,0
10x23,10x23,10,23,0.9551140947097062,0.5278863383065653,3.1965036170190815,MIST,0
10x24,10x24,10,24,0.9544410003913163,0.5437664417196638,3.192031171333099,MIST,0
10x25,10x25,10,25,0.9322798876213423,0.5091760434084985,3.2214915923868093,MIST,0
10x26,10x26,10,26,0.9169825349370043,0.5417848622001066,3.2619317271660058,MIST,0
10x27,10x27,10,27,0.8698900799389971,0.5162728742841437,3.3346683648133744,MIST,0
10x3,10x3,10,3,0.8904476479379889,0.5913620580230239,3.3076117645716643,MIST,0
10x4,10x4,10,4,0.9348904624245842,0.6368296577707737,3.2625659886720046,MIST,0
10x5,10x5,10,5,0.9045291254446383,0.6451605765690113,3.289227368268495,MIST,0
10x6,10x6,10,6,0.9648633282369047,0.588647190253757,3.2166768140055138,MIST,0
11x13,11x13,11,13,0.8212253759187196,0.44323951534264444,3.5341509314389117,MIST,0
11x14,11x14,11,14,0.9784506962815132,0.4086593297386712,3.233459724986743,MIST,0
11x15,11x15,11,15,0.9114752250906649,0.5237713257285158,3.4835923334797503,MIST,0
11x16,11x16,11,16,0.8963315479487914,0.4589216550064263,3.438680169215747,MIST,0
11x17,11x17,11,17,0.9532568529957107,0.39759988953972775,3.230209762406235,MIST,0
11x19,11x19,11,19,0.8282195922732881,0.47222311506913894,3.437271169698725,MIST,0
11x2,11x2,11,2,0.9616500941955224,0.6245014396454602,3.157293859208989,MIST,0
