,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10x6,8.122063,-1.9788506,-7.6924133,-5.4233527,2.4354656,-5.7554173,0.9976218,11.077098,-3.624913,11.198435,3.5549293,4.894746,-2.4006233,-3.2514327,-2.4743743,3.8748863,-7.6093597,-2.089805,-1.9157189,-4.927622,14.699222,-12.123769,-4.990964,-3.0843766,-4.857747,5.100066,0.16490531,9.473172,4.0722494,-3.0112796
11x13,8.093674,-1.9597781,-7.571604,-2.9509203,0.15842438,-5.715215,4.2175884,10.722394,-6.2558937,8.976769,2.4017775,3.7741525,1.5585954,-3.7124434,-3.1385982,3.0949063,-7.519047,-0.21006626,-3.9514213,-5.902542,12.415566,-11.270462,-6.0028934,-3.5367217,-1.7644132,6.7465196,0.861258,7.6243515,2.757473,-3.9917617
11x14,8.000214,-1.6589289,-8.372123,-3.0487716,1.2919025,-6.4574804,3.1512089,10.9911585,-5.810085,9.191435,2.1732953,4.319193,0.55548036,-3.23482,-3.4129992,2.8112297,-8.155856,-0.09851295,-3.5057046,-4.9493484,12.473856,-10.289348,-5.6424065,-3.3264856,-2.3467598,5.971638,0.8286963,6.8504705,3.307054,-3.714147
11x15,7.286668,-1.8583515,-8.089,-2.5376234,0.9661548,-6.8903756,2.566122,11.052011,-5.4974957,10.02091,1.5537015,4.3107677,0.19885015,-2.7950435,-3.8348703,3.0006127,-8.198932,0.045069456,-3.6194847,-4.409618,12.465365,-10.925842,-5.7151656,-3.5906634,-2.2335072,5.677077,0.4915204,6.143448,3.0113368,-3.8702023
11x16,6.172146,-2.3749557,-8.68601,-2.645248,1.4757819,-7.8158097,1.2612993,10.799121,-4.514961,11.293044,1.4241259,4.344168,-1.3695295,-1.8932567,-4.2471576,3.3481934,-8.794571,-0.73509526,-3.5318615,-3.8524833,12.628979,-10.514059,-6.054461,-3.4462922,-3.7430768,5.3307157,0.2724054,5.5265894,2.6613936,-3.1982725
11x17,5.882424,-3.209106,-8.100113,-2.9598167,1.9897594,-8.133831,1.3305006,10.257717,-4.4706063,11.586029,1.0678949,4.0775843,-1.3769721,-2.1298177,-4.083166,3.606802,-9.257175,-1.537792,-3.204568,-4.2567434,12.976042,-10.489082,-6.59223,-2.649681,-3.8751817,4.8835225,0.83561766,5.1151223,2.605356,-2.5625372
11x19,8.339895,-2.8868785,-6.462509,-4.596777,1.3382003,-6.2429156,1.295891,10.240559,-5.2966824,11.367626,1.8099123,4.4456477,-1.377457,-3.041017,-2.6103215,5.1087193,-9.086061,-3.5877256,-2.808449,-4.4147043,14.262809,-10.059899,-7.0324025,-0.65796113,-3.8020394,5.9651237,1.4012187,8.355935,4.3975477,-2.1415515
11x2,8.575244,-1.1758492,-6.914037,-3.4555082,2.5209508,-4.4836555,0.98202467,11.422755,-4.106589,11.673389,3.8409593,5.803509,-2.5008354,-3.6775985,-3.125236,2.896222,-8.222759,-3.4133012,-2.4633374,-5.3704042,14.426413,-12.392085,-4.5395308,-2.2593455,-3.4861488,4.2526793,-0.1582998,9.728807,4.579256,-3.753764
11x20,7.859856,-3.3017712,-6.9002376,-5.0909233,0.34076762,-5.158898,0.5783444,10.78601,-4.5830474,9.671375,0.5610926,5.0738373,-1.464048,-3.3628578,-2.0771847,4.765007,-8.243631,-2.9125967,-2.3142095,-4.6338396,14.956491,-9.184973,-6.7785425,-1.041968,-3.636129,6.362379,0.7416546,7.9790516,4.2458377,-2.581058
11x23,6.9266143,-0.48164397,-7.0537667,-4.3987994,1.318129,-5.2956057,1.1511616,11.584597,-5.7119102,10.525197,1.6666415,5.722308,-2.8903103,-2.9449286,-2.917429,3.6991315,-7.3140883,-0.9455025,-2.1021442,-6.4441824,13.980484,-11.420751,-5.574724,-2.4989023,-2.3319056,6.1174827,1.5383273,9.031392,3.3285,-2.120119
11x24,7.4635377,-0.7794138,-6.7220535,-4.0154133,1.3894128,-5.096951,1.152142,10.768376,-5.517088,10.712408,1.856241,6.485846,-3.1244397,-2.870817,-2.9090123,4.1748366,-7.2036195,-1.4022112,-2.3396902,-6.755959,13.324144,-12.327969,-6.363096,-1.9177408,-3.1615903,6.2806106,1.3399488,8.413631,4.0247726,-1.9645767
11x25,7.6301537,-0.24574113,-6.5022526,-3.227934,1.3474815,-5.453413,0.9421694,10.330706,-5.34672,10.865183,2.1929364,6.8007584,-3.462337,-2.7979789,-2.796175,4.101022,-7.8071604,-1.8081217,-2.961001,-6.7226543,13.5813675,-12.361831,-6.786294,-1.9158605,-3.7867415,5.6177444,1.2061279,8.503885,4.6199656,-2.2719965
11x26,7.5182095,-0.51082975,-6.251527,-3.2157602,1.2485625,-5.1775775,1.0048609,9.849817,-5.185459,10.959625,2.4659336,7.145175,-3.7186093,-2.1894712,-3.137668,3.8154843,-8.42961,-1.7187874,-2.872917,-6.506112,14.122258,-11.938221,-7.1769266,-2.0718164,-3.52208,5.248709,1.2494166,8.789401,4.689087,-1.7778343
11x27,7.406868,-0.06947613,-6.5267787,-2.593484,1.1415701,-5.6841583,0.96004045,9.48603,-5.2073216,11.167467,2.6210349,7.009304,-3.430233,-2.3083994,-3.4252923,3.677987,-8.416977,-1.3823891,-3.144114,-6.0086646,14.621066,-11.483723,-7.372177,-2.0931106,-3.4446497,4.945009,1.2998586,8.942825,4.8203087,-1.7571954
11x3,8.520232,-1.2821689,-7.10942,-3.766451,2.5503888,-4.7716136,0.9289861,11.346295,-4.215263,11.451437,3.788443,5.4826703,-2.522552,-3.7670927,-2.9891539,3.2657406,-8.260466,-3.1214485,-2.4469037,-5.303496,14.215228,-12.498096,-4.6477003,-2.3047638,-3.7946362,4.7440033,-0.18866622,9.779703,4.589581,-3.7712135
11x4,8.751509,-1.2853048,-6.9331717,-3.8922868,2.5580492,-5.191926,0.7576549,11.420921,-3.9036705,11.571301,3.8196862,5.111007,-2.5004992,-3.7253673,-3.0071213,3.5253866,-8.252943,-2.7592225,-2.4509673,-5.1161427,13.73876,-12.411311,-4.644558,-2.4988933,-4.0218005,4.947219,-0.49370837,9.68921,4.6814003,-3.5336874
11x5,8.8261795,-1.8156718,-7.250289,-4.2513423,2.541017,-5.5665483,0.91788065,11.39753,-3.6802359,11.237754,3.785301,4.7820807,-2.4514,-3.6176457,-2.7978733,4.105013,-8.012054,-2.448103,-2.3955941,-5.0707912,13.8218355,-12.29526,-4.634304,-2.7460058,-4.746394,5.2788854,-0.5115181,9.48002,4.5363274,-3.4519157
11x6,8.76469,-1.7323629,-7.512354,-4.57861,2.491886,-5.3894987,0.67081994,11.169288,-3.3887248,11.355121,3.6637073,4.597227,-2.4012072,-3.62407,-2.6255765,4.665174,-7.806219,-2.0811136,-2.3758905,-4.7584577,14.260399,-12.026892,-4.8152966,-2.998933,-4.6087236,5.2903514,-0.49641943,9.376213,4.426662,-3.3687086
12x11,6.55537,-0.5018411,-9.216444,-2.7801747,1.7342222,-8.408809,0.2336235,11.473288,-5.527644,8.417281,1.75121,3.8398502,0.3818698,-4.1167746,-2.0192158,4.6828136,-6.45393,-4.8911543,-2.0468435,-4.226522,12.651002,-9.94281,-4.903489,-3.6869028,-5.528923,7.7901053,1.0758379,8.638355,2.3491073,-2.5050254
12x13,7.5273333,-1.31126,-8.44388,-3.0978312,0.37899876,-6.3546796,2.756764,11.309351,-5.948283,9.986434,2.764752,4.0847645,0.39697886,-3.638784,-2.2426155,3.8375208,-8.132901,-2.070404,-3.3244069,-5.466096,11.992612,-10.167541,-5.58786,-4.14419,-3.5903132,7.050066,1.0455475,8.732224,3.109353,-3.4132633
12x14,7.32928,-1.7245834,-7.9082155,-2.951463,0.061065912,-5.9035397,3.2261198,11.203005,-5.867237,10.534797,2.4399862,4.2468967,0.675113,-3.503271,-3.127153,3.5809455,-8.194893,-0.38011718,-3.2382615,-5.642375,12.121597,-10.389782,-5.612912,-3.814148,-2.5448961,6.454271,0.76445085,7.7582006,3.403608,-3.7504902
12x15,6.273414,-2.0617132,-8.238114,-2.5017905,0.35281444,-6.503651,2.076478,11.70325,-5.1360283,11.861101,2.117783,4.7131214,-0.43939835,-2.8165598,-3.665955,3.1058764,-8.766419,-0.6064803,-3.0708833,-4.8356533,11.927411,-9.6359415,-5.670292,-3.6685293,-3.3095663,5.933155,0.68930817,7.227793,3.290463,-3.5225117
12x16,5.6806145,-2.3789744,-7.967921,-2.7201595,0.9084139,-7.2239933,1.5863233,11.285608,-4.933847,12.593632,1.0155756,4.9102254,-0.8698045,-2.386496,-3.9270267,3.2448757,-9.312246,-0.6504492,-3.1337533,-4.7368116,11.578669,-9.931725,-5.9460177,-3.2886338,-3.3513703,5.233264,0.49910772,6.307544,2.9762683,-3.3990254
12x17,5.8288774,-2.6811182,-8.37987,-3.0396616,1.3074557,-7.9949303,1.2192514,10.788295,-4.7284594,12.701602,1.5892619,4.703391,-1.9148511,-2.003278,-4.169429,3.6987724,-9.484522,-1.587928,-3.4676526,-4.544729,12.227716,-10.165813,-6.5437984,-2.6665945,-4.615675,5.25697,0.0970788,6.163883,2.9484594,-2.8452191
12x19,8.723487,-2.614958,-6.4084625,-4.753998,1.5582978,-5.9652176,1.2630544,9.898735,-5.69262,10.972709,2.1566546,4.609024,-1.884217,-3.344349,-2.9203122,5.046696,-8.611952,-3.0039306,-2.8522625,-4.4713454,14.236412,-10.131569,-7.061372,-0.75248843,-4.113729,5.851903,1.2853789,8.580225,4.437566,-2.3782206
12x2,8.12883,-1.2214385,-6.9852247,-2.8097336,2.7397532,-5.0098767,1.1283092,11.3585005,-4.314712,11.787756,3.626423,5.6679497,-2.5575995,-4.2491026,-3.253933,2.569888,-8.222619,-3.276506,-2.285175,-5.361105,14.512828,-12.207898,-4.2880626,-2.0773637,-3.7774184,4.721941,-0.18510973,9.334052,4.7041693,-3.103985
12x20,8.447848,-1.9734962,-6.1817493,-4.7665977,1.8686074,-6.107817,1.4378114,10.9091,-6.1779776,10.827947,2.3711498,4.653853,-1.911019,-2.8445578,-3.056684,4.463716,-8.336375,-2.4284391,-2.5162883,-4.457535,14.364895,-9.878727,-6.364396,-1.0427034,-3.3074949,5.411338,1.7244534,9.451281,3.9718115,-1.9938211
12x21,7.9145236,-1.899857,-6.9230714,-4.754299,1.3830581,-5.030938,0.9734429,11.319638,-5.44795,10.015601,1.856904,4.717287,-2.4058342,-2.555081,-3.318235,4.1212063,-7.700533,-1.418447,-1.5332394,-4.519371,14.511747,-10.216466,-5.9878473,-1.7702504,-3.228093,5.9465218,1.2430109,9.258057,3.4584117,-2.1889343
12x22,7.7644606,-1.2417548,-6.496643,-4.616484,1.6009505,-5.426049,1.2413002,11.983099,-5.9164696,10.754637,1.9118607,4.6958313,-2.6204047,-2.5479977,-3.3326266,3.611037,-8.11794,-1.5784426,-1.7199652,-5.2510433,13.958797,-11.052407,-5.498307,-2.1818826,-2.4412959,5.6418114,1.4233875,10.01489,3.1830745,-2.0867033
12x23,7.581504,-1.0121295,-6.660803,-4.800061,1.5884572,-5.185645,1.2240113,11.800217,-6.1303453,10.701818,1.8172,4.8095,-2.9814296,-2.6675851,-3.3306065,3.7586608,-7.585334,-1.1422845,-1.7038373,-5.9985332,13.496592,-11.664304,-5.282007,-2.1476927,-2.545854,6.063069,1.3414996,9.34678,3.2885118,-2.159402
12x24,7.050541,-1.1833534,-7.093249,-4.3320475,1.4300807,-5.362532,1.2798289,11.195653,-6.0078287,10.400461,1.0210593,5.200342,-2.8310292,-2.9932926,-2.6234007,3.8690588,-7.2803555,-0.98962575,-1.9571065,-6.6055975,13.267423,-11.9717,-5.361418,-2.2386727,-2.9487405,6.0469513,1.3868926,8.416116,3.4144638,-1.9486625
12x25,7.491181,-1.0471003,-6.533711,-3.725043,1.4216119,-5.109594,1.158883,10.530533,-5.5834,10.457703,1.5279984,6.269099,-3.2773128,-2.9326208,-3.0942411,4.031086,-7.6384487,-1.3588487,-2.4963367,-6.7765193,13.240868,-12.325672,-6.5673866,-1.8508327,-3.412944,6.355172,1.5002909,8.577916,4.435565,-2.0032518
12x26,7.6365924,-0.50659466,-6.469599,-2.7183444,1.1732059,-5.7118397,0.73970515,9.926635,-5.190494,10.647228,1.899263,6.4120426,-3.1650338,-2.9341173,-3.25027,3.9975119,-8.34183,-1.614641,-3.2339234,-6.467325,13.780828,-11.701845,-7.277127,-1.6999167,-3.7687683,5.492814,1.270549,8.962571,5.087545,-2.237283
12x27,7.6232533,-0.08031118,-6.509794,-2.812962,1.1696768,-5.6849985,0.46126157,9.813718,-4.7050343,11.033369,2.2710655,6.511999,-3.1593568,-2.304699,-3.8799634,3.642023,-8.807917,-1.3674879,-3.49248,-5.9357815,14.122494,-11.608759,-7.3105955,-1.8986375,-3.4455233,4.8867207,1.0300992,9.735036,5.317196,-2.133452
12x28,8.0155735,0.5035669,-6.6134243,-2.074358,1.4686892,-6.107217,0.13793111,9.667185,-4.5787706,11.073875,2.480506,6.055956,-2.44139,-2.6940546,-4.052199,3.7762825,-8.456802,-1.4005833,-4.137902,-5.7089195,14.309475,-11.60742,-7.56443,-1.7757292,-3.9311194,5.1082582,0.7001052,9.79096,5.5674734,-2.6816804
12x3,8.734396,-1.2392933,-6.758275,-3.3418155,2.7252777,-4.892249,0.8548995,11.397608,-4.142378,11.67732,3.9332929,5.4578514,-2.7834263,-3.8092525,-3.2772017,3.0036864,-8.531761,-3.1393256,-2.4256845,-5.203554,13.967228,-12.38195,-4.330167,-2.2081783,-3.9507012,4.7778635,-0.55515814,9.619755,4.822955,-3.2857747
12x4,8.86824,-1.4693402,-6.816742,-3.603111,2.6099064,-5.1753473,0.9460659,11.305553,-4.0219803,11.405388,3.8598924,5.0879655,-2.6862335,-3.7552264,-3.1630347,3.5565314,-8.442442,-2.8156688,-2.5857108,-5.050725,13.595121,-12.40903,-4.4891634,-2.2940679,-4.398837,5.220221,-0.69905543,9.682374,4.7492037,-3.433443
12x5,8.87195,-1.4255629,-7.0078206,-3.768065,2.462496,-5.394705,0.8688091,11.470498,-3.8253262,11.332764,3.7745981,4.7876,-2.596451,-3.859675,-3.0879927,4.054835,-8.365303,-2.4503682,-2.6491685,-4.996974,13.550239,-12.149186,-4.706599,-2.5783095,-4.4105186,5.2834287,-0.76063395,9.638673,4.764426,-3.4024947
