,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
11x21,6.1608,-7.0379586,-4.130149,0.98890126,4.8204594,-0.29157558,5.0509768,13.039981,-9.064215,4.930272,1.4153824,6.715068,-7.878775,0.59646285,-4.46573,9.519849,-4.317915,-0.6739845,-6.996619,0.51310897,6.863286,-3.8491783,6.578735,-2.516571,-8.7719965,2.5046477,3.2358513,4.967977,7.5442433,-4.683307
11x22,5.903678,-6.783921,-4.315204,0.9466995,5.0375786,-1.0815372,5.2655473,12.111614,-9.658361,5.106259,0.6946018,5.991092,-7.917126,-0.4646289,-5.374995,7.5348897,-4.643016,-0.21337318,-7.749593,1.1397499,6.5694685,-4.2214465,6.1411266,-3.1632586,-8.358172,1.9439126,1.4983226,4.7807117,8.18469,-5.8003635
11x23,6.168419,-8.8844795,-4.543438,0.37356985,5.101796,-0.85876167,5.4862604,13.608613,-8.811848,4.759722,1.7100468,6.1389704,-7.553512,0.16989732,-5.9175453,9.2088,-4.501758,-0.9753511,-8.454638,0.6314403,7.83276,-2.2759874,6.870749,-3.3442717,-7.831794,1.3414574,1.9432431,4.659055,7.588963,-4.926824
11x24,6.6799746,-9.548782,-4.0762787,0.48257017,5.1419873,-0.24768251,5.4272,14.396598,-8.138614,4.3649764,1.583299,6.5755033,-7.0853395,0.44056726,-6.1174397,9.687386,-3.7955189,-1.0781201,-8.128825,0.35647708,8.50977,-1.3650644,6.931457,-3.3428924,-6.9884644,1.9886322,2.1184068,4.5232143,7.5754743,-4.7546515
11x25,7.370035,-10.38167,-4.0753922,1.1949034,5.1125917,0.074153826,6.006999,15.803017,-6.9602036,4.740962,2.286701,6.864729,-6.729431,1.2961487,-5.736197,10.624347,-4.1608663,-0.9747056,-7.9798036,-0.16933316,9.32486,-0.7547015,7.777809,-2.8342433,-6.5837364,2.323946,3.1602342,4.42222,6.9703903,-4.1718836
11x26,7.684846,-10.674873,-3.3552134,1.4324931,5.257518,0.5357882,5.835651,16.272709,-6.68948,4.878067,1.6599567,6.8725595,-6.2670584,1.3865833,-5.4680567,10.05547,-3.743742,-0.92724705,-7.590987,-0.51245666,9.552992,-0.3500501,7.8035774,-2.823663,-6.6500883,3.2490563,3.0693905,4.055316,7.2518306,-4.655134
11x27,7.9453983,-10.600925,-2.7911203,2.222404,5.702481,0.38626707,5.6232204,16.163698,-6.727549,5.102895,1.3516545,6.5237007,-6.060188,1.5131574,-5.0660477,9.624817,-3.627826,-1.0979718,-7.3024845,-0.29053354,9.320217,-0.5023732,7.770327,-2.671827,-6.7929664,3.9349601,3.3473947,4.0743117,7.8873425,-5.039807
11x28,8.323744,-10.728813,-1.8356589,2.728437,5.6555552,0.5802548,5.1596165,16.231373,-6.9310217,4.88698,0.5417775,5.9808245,-5.885194,1.2392645,-4.57053,9.534557,-3.448988,-1.9391944,-7.2466836,-0.3968953,8.97691,-0.78057444,7.4098835,-3.0535512,-7.1431894,4.0989914,2.8029623,4.3651867,8.611574,-5.1905985
12x10,7.8425827,-8.7689905,-4.114661,1.6378725,5.717271,-0.32699764,5.8578577,15.201344,-6.37107,5.8833413,1.5126023,7.026268,-7.330888,-1.9937263,-5.4860067,11.67282,-4.160285,-3.0964828,-6.8845167,-0.12187922,9.466844,-1.8011816,6.8150625,-2.1588385,-6.41474,4.0399785,4.385456,5.817541,5.875954,-4.0923634
12x11,8.289928,-8.598875,-4.8098936,1.6030356,4.4018154,0.04353133,5.2009764,15.012719,-6.740793,5.2549863,1.1440707,7.120879,-7.0298724,-1.439986,-5.187791,10.408348,-5.7078567,-3.3594255,-6.9463706,0.47636133,8.635262,-1.8266832,6.4805975,-2.011551,-6.630972,3.485457,4.183875,5.9863043,6.4311266,-4.1602507
